"","Año_Edicion","Cod_region","Provincia","Region","Genero","Edad","Rango_edad","Nivel_de_instrucción","Sit_laboral","Quintil_ingresos","Ingreso_mensual_pesos_hogar","Cobertura_salud","Indice_NBI_hogar_dic","Promedio_fyv_dia","Promedio_fv_Diario_Dic","Cumple_No_Cumple_FyV"
"24",2018,1,"CABA",1,"Masculino",45,3,"Terciario_Universitario","Ocupado","4",37000,"Salud_Privada","0",2,"No_cumple","0"
"25",2018,1,"CABA",1,"Masculino",24,1,"Terciario_Universitario","Ocupado","5",25000,"Salud_Privada","0",1.43,"No_cumple","0"
"26",2018,1,"CABA",1,"Femenino",45,3,"Terciario_Universitario","Ocupado","4",40000,"Salud_Privada","0",1.86,"No_cumple","0"
"27",2018,1,"CABA",1,"Femenino",55,4,"Terciario_Universitario","Ocupado","5",90000,"Salud_Privada","0",2.86,"No_cumple","0"
"28",2018,1,"CABA",1,"Masculino",50,4,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",1,"No_cumple","0"
"29",2018,1,"CABA",1,"Femenino",40,5,"Secundario","Desocupado","5",47000,"Salud_Publica","0",0.71,"No_cumple","0"
"30",2018,1,"CABA",1,"Femenino",27,2,"Terciario_Universitario","Ocupado","5",25000,"Salud_Privada","0",2.29,"No_cumple","0"
"31",2018,1,"CABA",1,"Femenino",38,3,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",0.86,"No_cumple","0"
"32",2018,1,"CABA",1,"Masculino",34,2,"Secundario","Ocupado","4",17000,"Salud_Privada","0",0.71,"No_cumple","0"
"33",2018,1,"CABA",1,"Femenino",38,3,"Secundario","Inactivo","3",20000,"Salud_Privada","0",0.86,"No_cumple","0"
"34",2018,1,"CABA",1,"Masculino",55,3,"Terciario_Universitario","Ocupado","4",35000,"Salud_Privada","0",1.43,"No_cumple","0"
"35",2018,1,"CABA",1,"Femenino",80,5,"Primario","Inactivo","4",20000,"Salud_Privada","0",1.71,"No_cumple","0"
"36",2018,1,"CABA",1,"Femenino",60,4,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",2.5,"No_cumple","0"
"37",2018,1,"CABA",1,"Femenino",58,4,"Terciario_Universitario","Inactivo","5",30000,"Salud_Privada","0",3,"Cumple","1"
"38",2018,1,"CABA",1,"Masculino",32,2,"Terciario_Universitario","Ocupado","5",60000,"Salud_Privada","0",0.74,"No_cumple","0"
"39",2018,1,"CABA",1,"Femenino",36,3,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",3,"Cumple","1"
"40",2018,1,"CABA",1,"Femenino",33,2,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",4,"Cumple","1"
"41",2018,1,"CABA",1,"Femenino",20,4,"Terciario_Universitario","Inactivo","5",80000,"Salud_Privada","0",2.14,"No_cumple","0"
"42",2018,1,"CABA",1,"Femenino",63,4,"Secundario","Inactivo","3",25000,"Salud_Publica","0",1.71,"No_cumple","0"
"43",2018,1,"CABA",1,"Masculino",76,5,"Terciario_Universitario","Ocupado","4",20000,"Salud_Privada","0",4,"Cumple","1"
"44",2018,1,"CABA",1,"Femenino",64,5,"Secundario","Inactivo","3",16000,"Salud_Privada","0",1.14,"No_cumple","0"
"45",2018,1,"CABA",1,"Femenino",42,3,"Terciario_Universitario","Ocupado","5",23000,"Salud_Privada","0",3,"Cumple","1"
"46",2018,1,"CABA",1,"Masculino",53,4,"Secundario","Ocupado","4",30000,"Salud_Privada","0",1.29,"No_cumple","0"
"47",2018,1,"CABA",1,"Masculino",70,5,"Primario","Inactivo","3",24000,"Salud_Privada","0",1.43,"No_cumple","0"
"48",2018,1,"CABA",1,"Femenino",50,4,"Terciario_Universitario","Ocupado","5",25000,"Salud_Privada","0",2,"No_cumple","0"
"49",2018,1,"CABA",1,"Masculino",50,4,"Terciario_Universitario","Ocupado","5",38000,"Salud_Privada","0",1.43,"No_cumple","0"
"50",2018,1,"CABA",1,"Femenino",70,5,"Terciario_Universitario","Inactivo","5",50000,"Salud_Privada","0",6,"Cumple","1"
"51",2018,1,"CABA",1,"Masculino",61,4,"Terciario_Universitario","Ocupado","5",30000,"Salud_Privada","0",1,"No_cumple","0"
"52",2018,1,"CABA",1,"Femenino",77,5,"Terciario_Universitario","Inactivo","5",50000,"Salud_Privada","0",0.29,"No_cumple","0"
"53",2018,1,"CABA",1,"Femenino",56,4,"Secundario","Ocupado","4",30000,"Salud_Privada","0",1.43,"No_cumple","0"
"54",2018,1,"CABA",1,"Femenino",65,5,"Terciario_Universitario","Ocupado","4",20000,"Salud_Privada","0",2,"No_cumple","0"
"55",2018,1,"CABA",1,"Femenino",45,3,"Terciario_Universitario","Ocupado","4",30000,"Salud_Privada","0",1.14,"No_cumple","0"
"56",2018,1,"CABA",1,"Masculino",68,5,"Terciario_Universitario","Ocupado","5",200000,"Salud_Privada","0",3,"Cumple","1"
"57",2018,1,"CABA",1,"Femenino",48,3,"Terciario_Universitario","Ocupado","5",80000,"Salud_Privada","0",1.29,"No_cumple","0"
"58",2018,1,"CABA",1,"Femenino",58,4,"Terciario_Universitario","Ocupado","3",23000,"Salud_Privada","0",5.5,"Cumple","1"
"59",2018,1,"CABA",1,"Femenino",52,4,"Terciario_Universitario","Ocupado","5",130000,"Salud_Privada","0",1.57,"No_cumple","0"
"60",2018,1,"CABA",1,"Masculino",42,3,"Secundario","Ocupado","4",30000,"Salud_Privada","0",1.29,"No_cumple","0"
"61",2018,1,"CABA",1,"Masculino",73,5,"Terciario_Universitario","Ocupado","4",35000,"Salud_Privada","0",2,"No_cumple","0"
"62",2018,1,"CABA",1,"Femenino",67,5,"Secundario","Inactivo","3",10000,"Salud_Privada","0",0.29,"No_cumple","0"
"63",2018,1,"CABA",1,"Masculino",58,4,"Terciario_Universitario","Ocupado","5",100000,"Salud_Privada","0",1.29,"No_cumple","0"
"64",2018,1,"CABA",1,"Femenino",62,4,"Secundario","Ocupado","5",60000,"Salud_Privada","0",0.86,"No_cumple","0"
"65",2018,1,"CABA",1,"Masculino",55,4,"Terciario_Universitario","Ocupado","4",35000,"Salud_Privada","0",0.86,"No_cumple","0"
"66",2018,1,"CABA",1,"Masculino",55,4,"Terciario_Universitario","Inactivo","1",0,"Salud_Privada","0",1.14,"No_cumple","0"
"67",2018,1,"CABA",1,"Femenino",55,4,"Terciario_Universitario","Ocupado","5",90000,"Salud_Privada","0",3,"Cumple","1"
"68",2018,1,"CABA",1,"Femenino",62,4,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",3.43,"Cumple","1"
"69",2018,1,"CABA",1,"Femenino",71,5,"Secundario","Ocupado","2",7500,"Salud_Privada","1",0.29,"No_cumple","0"
"70",2018,1,"CABA",1,"Femenino",42,3,"Secundario","Ocupado","1",8000,"Salud_Privada","0",1.71,"No_cumple","0"
"71",2018,1,"CABA",1,"Masculino",38,3,"Secundario","Ocupado","5",40000,"Salud_Privada","0",0.36,"No_cumple","0"
"72",2018,1,"CABA",1,"Femenino",75,5,"Primario","Ocupado","3",15000,"Salud_Privada","0",2.29,"No_cumple","0"
"73",2018,1,"CABA",1,"Femenino",45,3,"Secundario","Ocupado","5",29000,"Salud_Privada","0",0.29,"No_cumple","0"
"74",2018,1,"CABA",1,"Femenino",38,3,"Secundario","Ocupado","1",8000,"Salud_Publica","1",2,"No_cumple","0"
"75",2018,1,"CABA",1,"Masculino",43,3,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",1.71,"No_cumple","0"
"76",2018,1,"CABA",1,"Femenino",44,3,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",2.86,"No_cumple","0"
"77",2018,1,"CABA",1,"Femenino",76,5,"Secundario","Inactivo","2",8000,"Salud_Privada","0",0.43,"No_cumple","0"
"78",2018,1,"CABA",1,"Femenino",25,2,"Terciario_Universitario","Ocupado","4",25000,"Salud_Publica","0",1.43,"No_cumple","0"
"79",2018,1,"CABA",1,"Femenino",60,4,"Terciario_Universitario","Ocupado","5",55000,"Salud_Privada","0",1.43,"No_cumple","0"
"80",2018,1,"CABA",1,"Masculino",58,4,"Secundario","Ocupado","5",35000,"Salud_Privada","0",1.86,"No_cumple","0"
"81",2018,1,"CABA",1,"Masculino",19,1,"Terciario_Universitario","Desocupado","4",15000,"Salud_Privada","0",1.07,"No_cumple","0"
"82",2018,1,"CABA",1,"Masculino",55,4,"Terciario_Universitario","Ocupado","5",90000,"Salud_Privada","0",2.14,"No_cumple","0"
"83",2018,1,"CABA",1,"Femenino",65,5,"Secundario","Inactivo","4",15000,"Salud_Privada","0",2.14,"No_cumple","0"
"84",2018,1,"CABA",1,"Femenino",41,3,"Secundario","Ocupado","4",46000,"Salud_Privada","0",1.71,"No_cumple","0"
"85",2018,1,"CABA",1,"Femenino",54,4,"Secundario","Ocupado","5",50000,"Salud_Privada","0",3,"Cumple","1"
"86",2018,1,"CABA",1,"Masculino",63,4,"Terciario_Universitario","Desocupado","4",26000,"Salud_Privada","0",2.57,"No_cumple","0"
"87",2018,1,"CABA",1,"Femenino",26,2,"Terciario_Universitario","Ocupado","4",20000,"Salud_Privada","0",2.43,"No_cumple","0"
"88",2018,1,"CABA",1,"Femenino",67,5,"Terciario_Universitario","Ocupado","4",25000,"Salud_Privada","0",1,"No_cumple","0"
"89",2018,1,"CABA",1,"Masculino",61,4,"Terciario_Universitario","Ocupado","4",28000,"Salud_Privada","0",2,"No_cumple","0"
"90",2018,1,"CABA",1,"Masculino",78,5,"Secundario","Inactivo","5",30000,"Salud_Privada","0",0.71,"No_cumple","0"
"91",2018,1,"CABA",1,"Femenino",72,5,"Primario","Inactivo","2",8000,"Salud_Privada","0",2,"No_cumple","0"
"92",2018,1,"CABA",1,"Femenino",64,4,"Terciario_Universitario","Ocupado","5",60000,"Salud_Privada","0",1.14,"No_cumple","0"
"93",2018,1,"CABA",1,"Masculino",33,2,"Terciario_Universitario","Ocupado","5",80000,"Salud_Privada","0",1.57,"No_cumple","0"
"94",2018,1,"CABA",1,"Femenino",55,4,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",1.71,"No_cumple","0"
"95",2018,1,"CABA",1,"Masculino",71,5,"Terciario_Universitario","Inactivo","4",35000,"Salud_Privada","0",2.86,"No_cumple","0"
"96",2018,1,"CABA",1,"Femenino",18,2,"Terciario_Universitario","Inactivo","5",50000,"Salud_Privada","0",1.29,"No_cumple","0"
"97",2018,1,"CABA",1,"Masculino",34,2,"Terciario_Universitario","Ocupado","5",40000,"Salud_Privada","1",0.64,"No_cumple","0"
"98",2018,1,"CABA",1,"Masculino",44,3,"Terciario_Universitario","Ocupado","5",100000,"Salud_Privada","0",0.86,"No_cumple","0"
"99",2018,1,"CABA",1,"Masculino",67,5,"Terciario_Universitario","Ocupado","5",40000,"Salud_Privada","0",12,"Cumple","1"
"100",2018,1,"CABA",1,"Femenino",72,5,"Secundario","Inactivo","5",45000,"Salud_Privada","0",3,"Cumple","1"
"101",2018,1,"CABA",1,"Femenino",51,2,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",4.57,"Cumple","1"
"102",2018,1,"CABA",1,"Masculino",45,3,"Primario","Ocupado","4",15000,"Salud_Privada","0",2.14,"No_cumple","0"
"103",2018,1,"CABA",1,"Masculino",63,4,"Terciario_Universitario","Ocupado","3",10000,"Salud_Publica","0",0.57,"No_cumple","0"
"104",2018,1,"CABA",1,"Masculino",71,5,"Primario","Ocupado","3",16000,"Salud_Privada","0",2.43,"No_cumple","0"
"105",2018,1,"CABA",1,"Femenino",71,5,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",3,"Cumple","1"
"106",2018,1,"CABA",1,"Femenino",50,4,"Terciario_Universitario","Ocupado","5",70000,"Salud_Publica","0",1,"No_cumple","0"
"107",2018,1,"CABA",1,"Femenino",68,5,"Secundario","Desocupado","2",8900,"Salud_Privada","0",0.86,"No_cumple","0"
"108",2018,1,"CABA",1,"Masculino",77,5,"Secundario","Inactivo","4",20000,"Salud_Privada","0",1.86,"No_cumple","0"
"109",2018,1,"CABA",1,"Femenino",46,3,"Terciario_Universitario","Ocupado","2",17000,"Salud_Privada","0",2.57,"No_cumple","0"
"110",2018,1,"CABA",1,"Femenino",72,5,"Terciario_Universitario","Inactivo","5",50000,"Salud_Privada","0",4,"Cumple","1"
"111",2018,1,"CABA",1,"Masculino",68,5,"Terciario_Universitario","Ocupado","5",60000,"Salud_Privada","0",0.5,"No_cumple","0"
"112",2018,1,"CABA",1,"Femenino",41,3,"Secundario","Ocupado","3",10000,"Salud_Publica","1",4,"Cumple","1"
"113",2018,1,"CABA",1,"Femenino",52,4,"Terciario_Universitario","Inactivo","3",13000,"Salud_Privada","1",1,"No_cumple","0"
"114",2018,1,"CABA",1,"Masculino",76,5,"Secundario","Inactivo","4",21000,"Salud_Privada","0",2,"No_cumple","0"
"115",2018,1,"CABA",1,"Femenino",29,2,"Terciario_Universitario","Ocupado","5",60000,"Salud_Privada","0",1.14,"No_cumple","0"
"116",2018,1,"CABA",1,"Masculino",55,4,"Terciario_Universitario","Ocupado","5",80000,"Salud_Privada","0",0.86,"No_cumple","0"
"117",2018,1,"CABA",1,"Femenino",51,4,"Terciario_Universitario","Ocupado","5",45000,"Salud_Privada","0",2.43,"No_cumple","0"
"118",2018,1,"CABA",1,"Femenino",36,3,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",5,"Cumple","1"
"119",2018,1,"CABA",1,"Femenino",67,5,"Secundario","Inactivo","4",20000,"Salud_Privada","0",0.14,"No_cumple","0"
"120",2018,1,"CABA",1,"Masculino",34,2,"Secundario","Ocupado","4",30000,"Salud_Privada","0",1.86,"No_cumple","0"
"121",2018,1,"CABA",1,"Femenino",26,2,"Terciario_Universitario","Ocupado","5",25000,"Salud_Privada","0",3.71,"Cumple","1"
"122",2018,1,"CABA",1,"Femenino",29,3,"Terciario_Universitario","Ocupado","4",32000,"Salud_Publica","0",3,"Cumple","1"
"123",2018,1,"CABA",1,"Masculino",47,3,"Terciario_Universitario","Ocupado","5",100000,"Salud_Privada","1",3,"Cumple","1"
"124",2018,1,"CABA",1,"Masculino",37,2,"Secundario","Ocupado","4",20000,"Salud_Publica","0",0.14,"No_cumple","0"
"125",2018,1,"CABA",1,"Femenino",40,3,"Secundario","Ocupado","5",35000,"Salud_Privada","0",2.43,"No_cumple","0"
"126",2018,1,"CABA",1,"Femenino",32,2,"Terciario_Universitario","Ocupado","4",17000,"Salud_Privada","0",1.29,"No_cumple","0"
"127",2018,1,"CABA",1,"Femenino",45,3,"Terciario_Universitario","Ocupado","3",20000,"Salud_Privada","0",4,"Cumple","1"
"128",2018,1,"CABA",1,"Femenino",89,5,"Secundario","Ocupado","5",40000,"Salud_Privada","0",3,"Cumple","1"
"129",2018,1,"CABA",1,"Masculino",36,3,"Secundario","Ocupado","2",15000,"Salud_Privada","0",0.57,"No_cumple","0"
"130",2018,1,"CABA",1,"Femenino",70,3,"Terciario_Universitario","Inactivo","3",20800,"Salud_Publica","0",2.57,"No_cumple","0"
"131",2018,1,"CABA",1,"Masculino",30,2,"Secundario","Ocupado","5",30000,"Salud_Privada","0",1.29,"No_cumple","0"
"132",2018,1,"CABA",1,"Femenino",84,5,"Primario","Inactivo","5",35000,"Salud_Privada","0",0.86,"No_cumple","0"
"133",2018,1,"CABA",1,"Masculino",39,3,"Terciario_Universitario","Ocupado","5",38000,"Salud_Privada","0",5,"Cumple","1"
"134",2018,1,"CABA",1,"Femenino",69,5,"Secundario","Ocupado","5",60000,"Salud_Privada","0",6,"Cumple","1"
"135",2018,1,"CABA",1,"Masculino",60,4,"Terciario_Universitario","Ocupado","5",25000,"Salud_Privada","0",2.14,"No_cumple","0"
"136",2018,1,"CABA",1,"Masculino",80,5,"Terciario_Universitario","Inactivo","5",55000,"Salud_Privada","0",3.57,"Cumple","1"
"137",2018,1,"CABA",1,"Femenino",28,2,"Terciario_Universitario","Ocupado","5",30000,"Salud_Privada","0",3,"Cumple","1"
"138",2018,1,"CABA",1,"Masculino",75,5,"Terciario_Universitario","Inactivo","4",20000,"Salud_Privada","0",3,"Cumple","1"
"139",2018,1,"CABA",1,"Masculino",47,3,"Terciario_Universitario","Ocupado","5",40000,"Salud_Privada","0",1,"No_cumple","0"
"140",2018,1,"CABA",1,"Masculino",84,5,"Terciario_Universitario","Inactivo","3",18000,"Salud_Privada","0",2,"No_cumple","0"
"141",2018,1,"CABA",1,"Femenino",70,5,"Terciario_Universitario","Inactivo","2",7200,"Salud_Privada","0",0.71,"No_cumple","0"
"142",2018,1,"CABA",1,"Masculino",26,5,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",1.29,"No_cumple","0"
"143",2018,1,"CABA",1,"Masculino",30,2,"Secundario","Ocupado","3",10000,"Salud_Privada","0",0.43,"No_cumple","0"
"144",2018,1,"CABA",1,"Femenino",73,5,"Primario","Inactivo","4",25000,"Salud_Privada","0",1.43,"No_cumple","0"
"145",2018,1,"CABA",1,"Masculino",50,4,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",0.29,"No_cumple","0"
"146",2018,1,"CABA",1,"Femenino",29,2,"Terciario_Universitario","Ocupado","5",40000,"Salud_Privada","0",1.29,"No_cumple","0"
"147",2018,1,"CABA",1,"Femenino",84,5,"Primario","Inactivo","3",12000,"Salud_Privada","0",1.29,"No_cumple","0"
"148",2018,1,"CABA",1,"Femenino",52,4,"Primario","Ocupado","2",12000,"Salud_Publica","0",0.43,"No_cumple","0"
"149",2018,1,"CABA",1,"Femenino",67,5,"Secundario","Inactivo","1",7500,"Salud_Privada","0",1.57,"No_cumple","0"
"150",2018,1,"CABA",1,"Femenino",73,5,"Terciario_Universitario","Inactivo","5",25000,"Salud_Privada","0",7,"Cumple","1"
"151",2018,1,"CABA",1,"Femenino",50,5,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",2.71,"No_cumple","0"
"152",2018,1,"CABA",1,"Masculino",30,2,"Secundario","Ocupado","5",40000,"Salud_Privada","0",2,"No_cumple","0"
"153",2018,1,"CABA",1,"Masculino",33,2,"Secundario","Ocupado","1",7000,"Salud_Publica","0",2.29,"No_cumple","0"
"154",2018,1,"CABA",1,"Femenino",52,4,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","1",1.43,"No_cumple","0"
"155",2018,1,"CABA",1,"Masculino",27,2,"Secundario","Ocupado","2",14000,"Salud_Privada","0",2.57,"No_cumple","0"
"156",2018,1,"CABA",1,"Masculino",27,2,"Secundario","Ocupado","4",35000,"Salud_Privada","0",1.43,"No_cumple","0"
"157",2018,1,"CABA",1,"Femenino",40,3,"Terciario_Universitario","Ocupado","5",45000,"Salud_Privada","0",3.14,"Cumple","1"
"158",2018,1,"CABA",1,"Femenino",40,3,"Secundario","Ocupado","3",30000,"Salud_Publica","0",3,"Cumple","1"
"159",2018,1,"CABA",1,"Femenino",23,1,"Terciario_Universitario","Ocupado","4",18000,"Salud_Privada","0",4.86,"Cumple","1"
"160",2018,1,"CABA",1,"Femenino",67,5,"Terciario_Universitario","Ocupado","4",36000,"Salud_Privada","0",4,"Cumple","1"
"161",2018,1,"CABA",1,"Masculino",32,2,"Terciario_Universitario","Ocupado","5",44000,"Salud_Privada","0",1.14,"No_cumple","0"
"162",2018,1,"CABA",1,"Femenino",25,2,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",3,"Cumple","1"
"163",2018,1,"CABA",1,"Masculino",68,5,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",2.57,"No_cumple","0"
"164",2018,1,"CABA",1,"Femenino",80,5,"Primario","Inactivo","3",13000,"Salud_Privada","0",3,"Cumple","1"
"165",2018,1,"CABA",1,"Masculino",66,5,"Secundario","Inactivo","2",8000,"Salud_Privada","0",1.14,"No_cumple","0"
"166",2018,1,"CABA",1,"Femenino",23,1,"Terciario_Universitario","Ocupado","4",14000,"Salud_Privada","0",3.71,"Cumple","1"
"167",2018,1,"CABA",1,"Femenino",60,4,"Terciario_Universitario","Inactivo","3",20000,"Salud_Privada","0",4,"Cumple","1"
"168",2018,1,"CABA",1,"Masculino",34,2,"Terciario_Universitario","Ocupado","5",70000,"Salud_Publica","0",2.5,"No_cumple","0"
"169",2018,1,"CABA",1,"Femenino",75,5,"Secundario","Inactivo","4",14000,"Salud_Privada","0",2,"No_cumple","0"
"170",2018,1,"CABA",1,"Femenino",54,4,"Secundario","Inactivo","3",13000,"Salud_Privada","0",3,"Cumple","1"
"171",2018,1,"CABA",1,"Femenino",61,4,"Secundario","Inactivo","5",30000,"Salud_Privada","0",1.43,"No_cumple","0"
"172",2018,1,"CABA",1,"Masculino",72,5,"Secundario","Ocupado","5",24000,"Salud_Privada","0",2.43,"No_cumple","0"
"173",2018,1,"CABA",1,"Masculino",83,5,"Primario","Inactivo","4",25000,"Salud_Privada","0",2.71,"No_cumple","0"
"174",2018,1,"CABA",1,"Femenino",38,3,"Secundario","Ocupado","4",20000,"Salud_Privada","0",7,"Cumple","1"
"175",2018,1,"CABA",1,"Femenino",30,2,"Terciario_Universitario","Ocupado","5",90000,"Salud_Privada","0",1.43,"No_cumple","0"
"176",2018,1,"CABA",1,"Femenino",49,4,"Terciario_Universitario","Desocupado","5",40000,"Salud_Privada","0",3.71,"Cumple","1"
"177",2018,1,"CABA",1,"Femenino",23,1,"Terciario_Universitario","Ocupado","5",30000,"Salud_Privada","0",5,"Cumple","1"
"178",2018,1,"CABA",1,"Masculino",51,4,"Primario","Ocupado","1",0,"Salud_Privada","0",1.14,"No_cumple","0"
"179",2018,1,"CABA",1,"Masculino",72,3,"Secundario","Inactivo","5",50000,"Salud_Privada","0",1,"No_cumple","0"
"180",2018,1,"CABA",1,"Masculino",54,4,"Primario","Ocupado","5",49000,"Salud_Privada","0",0.57,"No_cumple","0"
"181",2018,1,"CABA",1,"Masculino",36,3,"Terciario_Universitario","Ocupado","5",85000,"Salud_Privada","0",4.29,"Cumple","1"
"182",2018,1,"CABA",1,"Femenino",59,4,"Primario","Ocupado","4",25000,"Salud_Privada","0",3.14,"Cumple","1"
"183",2018,1,"CABA",1,"Femenino",29,2,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",0,"No_cumple","0"
"184",2018,1,"CABA",1,"Masculino",68,5,"Secundario","Ocupado","4",14000,"Salud_Privada","0",4.14,"Cumple","1"
"185",2018,1,"CABA",1,"Masculino",34,2,"Secundario","Ocupado","5",70000,"Salud_Publica","0",0.57,"No_cumple","0"
"186",2018,1,"CABA",1,"Masculino",61,4,"Terciario_Universitario","Inactivo","1",0,"Salud_Privada","1",2,"No_cumple","0"
"187",2018,1,"CABA",1,"Femenino",56,4,"Secundario","Inactivo","5",50000,"Salud_Publica","0",0.43,"No_cumple","0"
"188",2018,1,"CABA",1,"Femenino",69,5,"Terciario_Universitario","Ocupado","4",20000,"Salud_Privada","0",3,"Cumple","1"
"189",2018,1,"CABA",1,"Femenino",47,3,"Terciario_Universitario","Desocupado","4",44000,"Salud_Privada","0",2.86,"No_cumple","0"
"190",2018,1,"CABA",1,"Masculino",75,5,"Terciario_Universitario","Ocupado","5",93000,"Salud_Privada","0",0.29,"No_cumple","0"
"191",2018,1,"CABA",1,"Masculino",30,2,"Terciario_Universitario","Ocupado","5",28000,"Salud_Privada","0",1,"No_cumple","0"
"192",2018,1,"CABA",1,"Masculino",48,3,"Terciario_Universitario","Ocupado","4",15000,"Salud_Publica","0",1.71,"No_cumple","0"
"193",2018,1,"CABA",1,"Masculino",55,4,"Terciario_Universitario","Ocupado","5",55000,"Salud_Privada","0",2.43,"No_cumple","0"
"194",2018,1,"CABA",1,"Masculino",31,2,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",3.71,"Cumple","1"
"195",2018,1,"CABA",1,"Femenino",39,3,"Secundario","Ocupado","2",9000,"Salud_Privada","0",1.71,"No_cumple","0"
"196",2018,1,"CABA",1,"Masculino",37,3,"Primario","Ocupado","4",20000,"Salud_Privada","0",1.29,"No_cumple","0"
"197",2018,1,"CABA",1,"Femenino",80,5,"Terciario_Universitario","Inactivo","5",27000,"Salud_Privada","0",6,"Cumple","1"
"198",2018,1,"CABA",1,"Masculino",68,5,"Secundario","Inactivo","4",16000,"Salud_Privada","0",3,"Cumple","1"
