REGION,PRVNC,Ingreso_mensual_pesos_hogar,Sexo,Edad,Nivel_de_instrucción,COB_SALUD,PROMEDIO_FV_DIARIO,Sit_laboral,Indice_NBI_hogar_dic,PROMEDIO_FV_DIARIO_Dic
4,22,800,Mujer,33,Secundario,Salud_Privada,1.57142857142857,Inactivo,1,No_cumple
2,6,1400,Varon,37,Secundario,Salud_Publica,1,Ocupado,0,No_cumple
2,6,2000,Mujer,58,Terciario_universitario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
4,34,2000,Varon,41,Terciario_universitario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
3,66,1000,Varon,67,Primario,Salud_Publica,3,Inactivo,1,Cumple
3,10,3500,Varon,18,Secundario,Salud_Privada,1.57142857142857,Ocupado,0,No_cumple
3,66,800,Mujer,67,Secundario,Salud_Privada,4,Inactivo,0,Cumple
5,74,2000,Varon,66,Primario,Salud_Publica,1.42857142857143,Ocupado,0,No_cumple
3,46,1200,Varon,18,Secundario,Salud_Privada,2,Inactivo,0,No_cumple
2,82,30000,Varon,23,Terciario_universitario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
2,82,2000,Mujer,26,Terciario_universitario,Salud_Privada,2.42857142857143,Ocupado,0,No_cumple
2,14,2000,Varon,34,Terciario_universitario,Salud_Privada,0.142857142857143,Ocupado,0,No_cumple
4,18,1800,Varon,44,Secundario,Salud_Privada,5.85714285714286,Ocupado,0,Cumple
2,6,1200,Mujer,51,Primario,Salud_Privada,3.42857142857143,Ocupado,0,Cumple
6,94,4500,Varon,46,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
6,94,5000,Mujer,25,Terciario_universitario,Salud_Privada,1.42857142857143,Ocupado,0,No_cumple
3,90,1600,Mujer,28,Secundario,Salud_Privada,4,Ocupado,0,Cumple
2,6,1100,Mujer,58,Primario,Salud_Privada,4,Inactivo,0,Cumple
5,74,1500,Mujer,38,Terciario_universitario,Salud_Privada,2.14285714285714,Ocupado,0,No_cumple
3,10,5000,Mujer,40,Secundario,Salud_Publica,1.85714285714286,Ocupado,0,No_cumple
5,74,1500,Varon,40,Primario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
6,58,500,Varon,38,Secundario,Salud_Publica,0.714285714285714,Ocupado,1,No_cumple
2,82,1700,Varon,37,Secundario,Salud_Privada,2.42857142857143,Ocupado,0,No_cumple
1,2,5000,Mujer,31,Terciario_universitario,Salud_Privada,0.428571428571429,Ocupado,0,No_cumple
5,50,2500,Mujer,28,Secundario,Salud_Privada,3,Inactivo,0,Cumple
5,70,400,Mujer,64,Primario,Salud_Privada,1.42857142857143,Inactivo,0,No_cumple
5,70,1200,Varon,68,Primario,Salud_Privada,5,Ocupado,0,Cumple
6,94,5800,Mujer,33,Terciario_universitario,Salud_Privada,1,Ocupado,0,No_cumple
4,34,3000,Mujer,20,Terciario_universitario,Salud_Privada,1.57142857142857,Inactivo,0,No_cumple
5,74,3000,Mujer,19,Terciario_universitario,Salud_Privada,1.28571428571429,Ocupado,0,No_cumple
3,86,1400,Varon,36,Secundario,Salud_Privada,1,Ocupado,1,No_cumple
2,14,850,Varon,55,Primario,Salud_Publica,4.42857142857143,Ocupado,0,Cumple
4,22,4000,Mujer,41,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
3,38,1700,Mujer,62,Secundario,Salud_Privada,3,Inactivo,0,Cumple
6,58,15000,Varon,54,Secundario,Salud_Privada,5.42857142857143,Ocupado,0,Cumple
3,66,6000,Mujer,60,Terciario_universitario,Salud_Privada,2,Ocupado,0,No_cumple
5,74,1000,Varon,26,Secundario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
2,30,3000,Mujer,59,Primario,Salud_Privada,1.28571428571429,Ocupado,0,No_cumple
2,6,2000,Mujer,68,Primario,Salud_Privada,4,Inactivo,0,Cumple
5,74,800,Mujer,31,Secundario,Salud_Privada,1.71428571428571,Ocupado,1,No_cumple
6,58,3000,Varon,50,Secundario,Salud_Privada,0.142857142857143,Ocupado,0,No_cumple
5,50,800,Varon,35,Primario,Salud_Privada,3.28571428571429,Ocupado,0,Cumple
1,6,600,Varon,61,Primario,Salud_Publica,1.42857142857143,Ocupado,0,No_cumple
6,94,1000,Mujer,25,Secundario,Salud_Publica,3.28571428571429,Ocupado,0,Cumple
2,82,700,Varon,37,Primario,Salud_Publica,0.428571428571429,Ocupado,0,No_cumple
2,6,2500,Mujer,62,Terciario_universitario,Salud_Privada,5,Inactivo,0,Cumple
4,22,1000,Varon,58,Primario,Salud_Publica,1.85714285714286,Ocupado,0,No_cumple
5,70,3000,Varon,78,Secundario,Salud_Privada,1.57142857142857,Inactivo,0,No_cumple
4,34,2500,Varon,32,Secundario,Salud_Publica,1.57142857142857,Ocupado,0,No_cumple
5,74,850,Varon,37,Primario,Salud_Publica,2.14285714285714,Ocupado,0,No_cumple
6,62,350,Mujer,26,Terciario_universitario,Salud_Publica,2.14285714285714,Desocupado,0,No_cumple
2,30,600,Mujer,26,Primario,Salud_Publica,1,Inactivo,1,No_cumple
5,50,2500,Mujer,59,Terciario_universitario,Salud_Privada,2.42857142857143,Ocupado,0,No_cumple
2,14,3000,Varon,40,Primario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
4,34,4000,Varon,43,Secundario,Salud_Privada,2,Inactivo,0,No_cumple
3,90,1000,Mujer,60,Secundario,Salud_Publica,1.42857142857143,Inactivo,0,No_cumple
5,50,800,Mujer,72,Primario,Salud_Privada,2,Inactivo,0,No_cumple
6,78,2000,Mujer,76,Primario,Salud_Privada,1.42857142857143,Inactivo,0,No_cumple
2,6,2000,Varon,26,Secundario,Salud_Publica,8,Ocupado,0,Cumple
3,10,1600,Mujer,36,Secundario,Salud_Privada,4.71428571428571,Inactivo,0,Cumple
3,66,2000,Mujer,24,Terciario_universitario,Salud_Privada,0.714285714285714,Inactivo,0,No_cumple
6,62,6000,Varon,62,Primario,Salud_Privada,2.85714285714286,Ocupado,0,No_cumple
6,94,18000,Varon,52,Terciario_universitario,Salud_Privada,2.42857142857143,Ocupado,0,No_cumple
4,18,1800,Varon,35,Terciario_universitario,Salud_Privada,1,Ocupado,0,No_cumple
4,34,1100,Mujer,29,Primario,Salud_Publica,1.42857142857143,Ocupado,1,No_cumple
6,26,3000,Varon,18,Secundario,Salud_Privada,3.71428571428571,Ocupado,0,Cumple
3,66,1800,Mujer,54,Primario,Salud_Privada,3,Ocupado,0,Cumple
3,38,800,Mujer,38,Secundario,Salud_Publica,0.857142857142857,Inactivo,0,No_cumple
4,18,380,Mujer,29,Primario,Salud_Publica,1.14285714285714,Inactivo,1,No_cumple
3,38,240,Varon,21,Terciario_universitario,Salud_Privada,1.85714285714286,Ocupado,1,No_cumple
6,62,2000,Mujer,19,Secundario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
1,6,1400,Varon,39,Primario,Salud_Publica,0,Desocupado,1,No_cumple
4,54,3000,Mujer,25,Terciario_universitario,Salud_Publica,4,Ocupado,0,Cumple
3,10,2300,Mujer,19,Secundario,Salud_Publica,1.42857142857143,Inactivo,0,No_cumple
4,18,700,Mujer,33,Secundario,Salud_Publica,0.571428571428572,Inactivo,0,No_cumple
5,70,3000,Mujer,36,Secundario,Salud_Privada,0.285714285714286,Ocupado,0,No_cumple
2,82,10000,Mujer,76,Secundario,Salud_Privada,2,Inactivo,0,No_cumple
6,62,1000,Mujer,41,Secundario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
3,38,700,Varon,56,Primario,Salud_Publica,1,Ocupado,0,No_cumple
5,50,4000,Mujer,23,Terciario_universitario,Salud_Privada,2,Ocupado,0,No_cumple
3,38,4000,Mujer,29,Terciario_universitario,Salud_Publica,1.42857142857143,Ocupado,0,No_cumple
1,6,5000,Mujer,43,Secundario,Salud_Privada,1.85714285714286,Ocupado,0,No_cumple
2,6,620,Varon,28,Primario,Salud_Privada,2.42857142857143,Desocupado,1,No_cumple
6,94,3000,Mujer,50,Secundario,Salud_Privada,1,Inactivo,0,No_cumple
6,58,1000,Mujer,34,Secundario,Salud_Privada,0.428571428571429,Ocupado,0,No_cumple
3,66,700,Mujer,35,Secundario,Salud_Publica,2.28571428571429,Ocupado,0,No_cumple
3,66,1000,Mujer,30,Primario,Salud_Privada,2.28571428571429,Inactivo,1,No_cumple
3,10,6000,Varon,50,Terciario_universitario,Salud_Privada,0.285714285714286,Ocupado,0,No_cumple
1,6,1570,Mujer,44,Secundario,Salud_Privada,2.14285714285714,Ocupado,0,No_cumple
3,66,2500,Varon,82,Secundario,Salud_Privada,2.28571428571429,Inactivo,0,No_cumple
5,50,2000,Mujer,22,Secundario,Salud_Privada,1.85714285714286,Inactivo,0,No_cumple
2,6,1000,Varon,63,Primario,Salud_Privada,0.571428571428572,Inactivo,0,No_cumple
6,26,6750,Mujer,53,Secundario,Salud_Privada,6,Inactivo,0,Cumple
5,50,1200,Mujer,66,Primario,Salud_Privada,1.85714285714286,Ocupado,0,No_cumple
3,38,1500,Varon,21,Primario,Salud_Privada,3.85714285714286,Ocupado,0,Cumple
2,14,1200,Mujer,52,Primario,Salud_Privada,2,Ocupado,0,No_cumple
6,62,1900,Varon,37,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
3,46,2400,Mujer,43,Primario,Salud_Privada,1.57142857142857,Ocupado,0,No_cumple
4,54,1200,Mujer,26,Secundario,Salud_Publica,2,Ocupado,0,No_cumple
6,26,3000,Mujer,79,Primario,Salud_Privada,1.14285714285714,Inactivo,0,No_cumple
3,46,600,Varon,23,Terciario_universitario,Salud_Privada,1.28571428571429,Desocupado,0,No_cumple
3,90,500,Varon,33,Primario,Salud_Privada,1,Ocupado,1,No_cumple
6,58,3500,Mujer,77,Secundario,Salud_Privada,5,Inactivo,0,Cumple
3,10,3000,Mujer,44,Primario,Salud_Privada,6,Ocupado,0,Cumple
3,46,1000,Varon,33,Secundario,Salud_Privada,2.71428571428571,Ocupado,0,No_cumple
1,2,6300,Varon,50,Terciario_universitario,Salud_Privada,0.142857142857143,Ocupado,0,No_cumple
6,62,2500,Varon,46,Secundario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
1,6,3800,Mujer,40,Primario,Salud_Publica,0.571428571428572,Inactivo,1,No_cumple
6,94,7800,Varon,66,Secundario,Salud_Privada,1.57142857142857,Ocupado,1,No_cumple
3,38,4000,Varon,34,Secundario,Salud_Privada,2.85714285714286,Ocupado,0,No_cumple
6,78,1500,Mujer,48,Primario,Salud_Privada,5.71428571428571,Ocupado,0,Cumple
2,82,3000,Mujer,52,Terciario_universitario,Salud_Privada,4,Ocupado,0,Cumple
6,26,2000,Varon,47,Primario,Salud_Privada,0.571428571428572,Ocupado,0,No_cumple
6,62,2500,Mujer,24,Secundario,Salud_Privada,1.57142857142857,Inactivo,0,No_cumple
3,86,4000,Mujer,57,Terciario_universitario,Salud_Privada,4.14285714285714,Ocupado,0,Cumple
3,10,4000,Varon,36,Secundario,Salud_Privada,0.571428571428572,Ocupado,0,No_cumple
6,78,9000,Varon,35,Terciario_universitario,Salud_Privada,4,Ocupado,0,Cumple
1,6,1000,Mujer,60,Primario,Salud_Privada,2,Ocupado,1,No_cumple
5,50,400,Mujer,27,Secundario,Salud_Privada,0.571428571428572,Inactivo,1,No_cumple
2,30,3000,Mujer,27,Terciario_universitario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
2,6,800,Mujer,68,Primario,Salud_Privada,1.28571428571429,Inactivo,0,No_cumple
4,34,1000,Varon,30,Secundario,Salud_Publica,2.85714285714286,Ocupado,1,No_cumple
2,6,4000,Mujer,38,Terciario_universitario,Salud_Privada,2.28571428571429,Ocupado,0,No_cumple
5,70,1350,Varon,37,Secundario,Salud_Privada,1.57142857142857,Ocupado,0,No_cumple
6,78,12000,Varon,52,Terciario_universitario,Salud_Privada,2.42857142857143,Ocupado,0,No_cumple
3,86,7000,Varon,37,Terciario_universitario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
6,26,2200,Varon,73,Secundario,Salud_Privada,1.57142857142857,Inactivo,0,No_cumple
2,42,10000,Mujer,69,Secundario,Salud_Privada,3.28571428571429,Ocupado,0,Cumple
5,70,2000,Mujer,39,Secundario,Salud_Privada,1.28571428571429,Inactivo,0,No_cumple
2,82,800,Mujer,45,Secundario,Salud_Publica,1,Ocupado,1,No_cumple
6,94,3000,Mujer,19,Terciario_universitario,Salud_Privada,0.571428571428572,Inactivo,0,No_cumple
3,66,1000,Mujer,50,Secundario,Salud_Publica,5,Ocupado,0,Cumple
3,10,2500,Varon,40,Primario,Salud_Privada,0.714285714285714,Ocupado,0,No_cumple
5,50,1400,Mujer,36,Secundario,Salud_Privada,3,Inactivo,0,Cumple
1,6,2500,Varon,21,Secundario,Salud_Publica,0.285714285714286,Desocupado,1,No_cumple
5,74,600,Varon,45,Primario,Salud_Publica,0.285714285714286,Ocupado,0,No_cumple
2,6,6000,Varon,64,Terciario_universitario,Salud_Privada,0.428571428571429,Ocupado,0,No_cumple
3,10,500,Mujer,48,Primario,Salud_Privada,0.571428571428572,Ocupado,0,No_cumple
5,70,9000,Varon,27,Terciario_universitario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
2,30,1800,Varon,64,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
3,90,2200,Mujer,37,Terciario_universitario,Salud_Privada,2,Ocupado,0,No_cumple
2,6,1800,Mujer,72,Secundario,Salud_Privada,2,Inactivo,0,No_cumple
5,50,800,Mujer,65,Terciario_universitario,Salud_Privada,1.85714285714286,Inactivo,0,No_cumple
2,14,1500,Mujer,54,Primario,Salud_Publica,1.42857142857143,Inactivo,1,No_cumple
6,26,4000,Varon,52,Primario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
5,70,1000,Varon,62,Primario,Salud_Publica,2,Ocupado,0,No_cumple
5,70,1800,Mujer,67,Terciario_universitario,Salud_Privada,4,Inactivo,0,Cumple
6,78,6000,Varon,36,Terciario_universitario,Salud_Privada,1,Ocupado,0,No_cumple
2,6,4000,Mujer,25,Terciario_universitario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
2,30,900,Mujer,57,Primario,Salud_Publica,4.28571428571429,Ocupado,0,Cumple
6,58,2500,Varon,21,Terciario_universitario,Salud_Publica,2.42857142857143,Ocupado,0,No_cumple
1,2,1400,Varon,76,Secundario,Salud_Privada,2.57142857142857,Inactivo,0,No_cumple
4,22,1560,Varon,69,Secundario,Salud_Privada,1,Inactivo,0,No_cumple
6,78,7000,Varon,31,Terciario_universitario,Salud_Privada,0.714285714285714,Ocupado,0,No_cumple
2,6,1700,Varon,38,Secundario,Salud_Privada,0.285714285714286,Ocupado,0,No_cumple
1,6,2000,Varon,32,Primario,Salud_Privada,2,Ocupado,0,No_cumple
3,86,800,Mujer,42,Secundario,Salud_Publica,1.28571428571429,Inactivo,0,No_cumple
5,70,4000,Mujer,19,Terciario_universitario,Salud_Privada,0,Ocupado,0,No_cumple
2,14,3000,Mujer,28,Terciario_universitario,Salud_Privada,0.142857142857143,Ocupado,0,No_cumple
5,70,3000,Varon,39,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
6,58,2400,Varon,33,Secundario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
1,6,4000,Mujer,43,Secundario,Salud_Privada,1.42857142857143,Ocupado,0,No_cumple
5,74,600,Mujer,27,Primario,Salud_Publica,0.571428571428572,Ocupado,0,No_cumple
5,50,2000,Mujer,53,Primario,Salud_Publica,1,Inactivo,0,No_cumple
2,14,1200,Varon,67,Primario,Salud_Privada,4,Inactivo,0,Cumple
3,10,1000,Varon,50,Secundario,Salud_Publica,0.285714285714286,Ocupado,0,No_cumple
3,38,1500,Varon,57,Primario,Salud_Privada,0.428571428571429,Inactivo,0,No_cumple
3,38,1000,Varon,29,Terciario_universitario,Salud_Publica,4,Ocupado,0,Cumple
4,34,4000,Varon,56,Terciario_universitario,Salud_Privada,6,Ocupado,0,Cumple
2,30,2000,Varon,28,Secundario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
5,50,1200,Varon,32,Primario,Salud_Publica,10.4285714285714,Ocupado,0,Cumple
4,18,1600,Mujer,26,Secundario,Salud_Privada,3.57142857142857,Desocupado,0,Cumple
3,10,800,Mujer,18,Secundario,Salud_Privada,1.42857142857143,Inactivo,0,No_cumple
2,14,2000,Mujer,53,Primario,Salud_Privada,1.28571428571429,Ocupado,0,No_cumple
5,50,700,Mujer,74,Primario,Salud_Privada,3,Inactivo,0,Cumple
3,86,1750,Mujer,42,Primario,Salud_Privada,0.857142857142857,Ocupado,1,No_cumple
2,82,1200,Mujer,66,Primario,Salud_Privada,3.42857142857143,Inactivo,0,Cumple
6,58,6000,Varon,61,Terciario_universitario,Salud_Privada,3,Ocupado,0,Cumple
3,86,600,Mujer,38,Secundario,Salud_Privada,0.285714285714286,Ocupado,1,No_cumple
3,46,1800,Varon,45,Primario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
3,38,600,Mujer,29,Secundario,Salud_Publica,2,Inactivo,0,No_cumple
6,78,8000,Mujer,21,Secundario,Salud_Privada,5.28571428571429,Ocupado,0,Cumple
6,58,2300,Varon,81,Primario,Salud_Privada,5.85714285714286,Inactivo,0,Cumple
2,30,6000,Mujer,50,Terciario_universitario,Salud_Privada,2,Ocupado,0,No_cumple
4,18,200,Mujer,30,Primario,Salud_Publica,1.14285714285714,Inactivo,1,No_cumple
3,38,1250,Varon,50,Primario,Salud_Privada,2.85714285714286,Ocupado,1,No_cumple
6,58,500,Varon,18,Primario,Salud_Publica,2,Ocupado,1,No_cumple
3,86,500,Varon,59,Primario,Salud_Privada,1.42857142857143,Ocupado,0,No_cumple
3,38,1000,Mujer,73,Primario,Salud_Privada,1,Inactivo,0,No_cumple
5,70,1500,Mujer,37,Primario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
6,78,4000,Mujer,32,Secundario,Salud_Privada,0.428571428571429,Ocupado,0,No_cumple
3,90,6000,Varon,54,Primario,Salud_Privada,5,Ocupado,0,Cumple
4,34,900,Varon,18,Secundario,Salud_Privada,1,Inactivo,0,No_cumple
5,70,2000,Mujer,68,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
4,34,1300,Varon,46,Secundario,Salud_Publica,3,Ocupado,1,Cumple
6,78,1000,Varon,69,Primario,Salud_Privada,5,Inactivo,0,Cumple
6,94,6000,Varon,30,Terciario_universitario,Salud_Privada,0,Ocupado,0,No_cumple
2,42,2500,Mujer,22,Terciario_universitario,Salud_Privada,3,Inactivo,0,Cumple
6,26,7000,Mujer,68,Primario,Salud_Publica,2.71428571428571,Inactivo,0,No_cumple
4,54,1000,Mujer,59,Secundario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
5,70,1500,Mujer,26,Terciario_universitario,Salud_Privada,2,Ocupado,0,No_cumple
2,14,4000,Varon,29,Terciario_universitario,Salud_Publica,1,Ocupado,0,No_cumple
5,50,550,Mujer,67,Primario,Salud_Privada,1,Inactivo,0,No_cumple
4,22,2300,Mujer,61,Terciario_universitario,Salud_Privada,2.28571428571429,Ocupado,0,No_cumple
5,50,3500,Mujer,37,Terciario_universitario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
2,6,2000,Mujer,55,Secundario,Salud_Privada,4,Ocupado,0,Cumple
3,90,400,Mujer,40,Primario,Salud_Publica,2.85714285714286,Ocupado,0,No_cumple
5,50,3000,Varon,38,Secundario,Salud_Privada,2.28571428571429,Ocupado,0,No_cumple
4,22,450,Mujer,71,Primario,Salud_Privada,4,Inactivo,0,Cumple
1,2,5500,Mujer,33,Terciario_universitario,Salud_Privada,3,Ocupado,0,Cumple
1,2,20000,Varon,57,Terciario_universitario,Salud_Privada,1.28571428571429,Ocupado,0,No_cumple
4,22,1600,Mujer,23,Terciario_universitario,Salud_Privada,1.42857142857143,Inactivo,0,No_cumple
3,90,400,Mujer,80,Secundario,Salud_Privada,3,Inactivo,0,Cumple
6,26,3000,Mujer,48,Primario,Salud_Publica,3.71428571428571,Inactivo,0,Cumple
2,30,2500,Varon,74,Secundario,Salud_Privada,2,Inactivo,0,No_cumple
4,18,500,Varon,35,Secundario,Salud_Publica,1,Ocupado,0,No_cumple
6,62,400,Mujer,23,Terciario_universitario,Salud_Publica,0.714285714285714,Desocupado,0,No_cumple
3,10,2500,Varon,45,Terciario_universitario,Salud_Privada,0.857142857142857,Ocupado,0,No_cumple
3,10,850,Varon,46,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
1,2,1830,Mujer,53,Secundario,Salud_Privada,4,Ocupado,0,Cumple
2,6,1000,Mujer,56,Secundario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
4,54,1500,Mujer,53,Secundario,Salud_Privada,3.14285714285714,Ocupado,0,Cumple
3,38,2000,Varon,36,Primario,Salud_Publica,4.28571428571429,Ocupado,1,Cumple
3,66,1500,Varon,54,Secundario,Salud_Publica,3,Ocupado,0,Cumple
6,62,800,Mujer,67,Primario,Salud_Privada,1.42857142857143,Inactivo,0,No_cumple
2,6,1400,Varon,46,Primario,Salud_Privada,0.714285714285714,Ocupado,0,No_cumple
3,90,3200,Mujer,41,Terciario_universitario,Salud_Privada,1,Ocupado,0,No_cumple
2,82,5000,Varon,58,Secundario,Salud_Privada,1.28571428571429,Ocupado,0,No_cumple
5,74,1500,Varon,58,Secundario,Salud_Publica,3,Ocupado,0,Cumple
2,6,1600,Varon,29,Primario,Salud_Privada,4,Ocupado,0,Cumple
4,54,300,Varon,40,Secundario,Salud_Publica,0.428571428571429,Ocupado,1,No_cumple
6,26,3000,Mujer,43,Primario,Salud_Privada,0.428571428571429,Inactivo,0,No_cumple
6,78,9000,Mujer,35,Terciario_universitario,Salud_Privada,0.714285714285714,Ocupado,0,No_cumple
1,6,10000,Mujer,43,Terciario_universitario,Salud_Privada,1,Ocupado,0,No_cumple
4,18,7000,Mujer,31,Terciario_universitario,Salud_Privada,2.14285714285714,Ocupado,0,No_cumple
2,82,1700,Varon,75,Primario,Salud_Privada,1.42857142857143,Inactivo,0,No_cumple
6,58,7000,Varon,62,Secundario,Salud_Privada,2.85714285714286,Inactivo,0,No_cumple
3,46,3400,Mujer,31,Secundario,Salud_Publica,0.142857142857143,Ocupado,0,No_cumple
6,58,900,Mujer,22,Secundario,Salud_Publica,1.42857142857143,Inactivo,1,No_cumple
2,30,890,Mujer,78,Primario,Salud_Privada,2,Ocupado,0,No_cumple
